Cat�gorie;Article;D�signation 1;Unit� stock;Unit� vente;Coef UV-US;Saisie coeff vente;Unit� achat;Coef UA-US;Conditionnement;Coef UC-US;Saisie coeff autoris;Code comptable;Niveau taxe;Famille statistique;Famille statistique;Famille statistique;Gestion stock;Fournisseur;Article fournisseur;D�signation fourn
PDR;PDR00081;TUBE CARRE 40X40X2;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00163;;TUBE CARRE 40X40X2
PDR;PDR00082;POMPE DE BENNE 4T ENGRENAGE 90 LT;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00089;22PMP005_LO;POMPE DE BENNE 4T ENGRENAGE 90 LT
PDR;PDR00083;COUSSINET DE PALIER STD MAN;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;H1239/7;
PDR;PDR00084;BAGE ARBRE CAME MA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;77964600;BAGE ARBRE CAME MA
PDR;PDR00085;KIT EMBRAYAGE POMPE MAN TGA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;3400700641;KIT EMBARYAGE POMPE MAN TGA
PDR;PDR00086;MANO RADIATEUR MAN TGA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00088;32713;MANO RADIATEUR MAN TGA
PDR;PDR00086;MANO RADIATEUR MAN TGA;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00348;32713;MANO RADIATEUR MAN TGS
PDR;PDR00087;MANOMETRE COMPRESSEUR 350MM 12BAR;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;;MANOMETRE COMPRESSEUR 350MM 12BAR
PDR;PDR00088;REDUCTEUR 1/2 3/4 CUIVRE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;REDUCTEUR 1/2 3/4 CU;REDUCTEUR 1/2 3/4 CUIVRE 
PDR;PDR00089;REDUCTEUR PRESSION MANO+ROBINET 1/4;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;REDUCTEUR PRESSION M;REDUCTEUR PRESSION MANO+ROBINET 1/4
PDR;PDR00090;COLIER 8-12;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;COLIER 8-12;COLIER 8-12
PDR;PDR00091;PRISE RAPIDE AIR POUR RACCORD 1/4;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00052;PRISE RAPIDE AIR POU;PRISE RAPIDE AIR POUR RACCORD 1/4
PDR;PDR00092;FILTRE A HUILE MAN TGA/TGX;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00113;MANHU13125/3X;FILTRE A HUILE MAN TGA/TGX
PDR;PDR00093;FILTRE A CARBURANT MAN ;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00113;MANPU1059X;FILTRE A CARBURANT MAN 
PDR;PDR00094;FILTRE A AIR MAN YGA/TGX GM;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00113;MANC271250/1;FILTRE A AIR MAN YGA/TGX GM
PDR;PDR00095;FILTRE A AIR MAN YGA/TGX PM;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00113;MANCF1640;FILTRE A AIR MAN TGA/TGX PM
PDR;PDR00096;CORPS DE POMPE BOITE A VITESSE;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00252;1315.302.121;CORPS DE POMPE BOITE A VITESSE
PDR;PDR00097;KIT GP;UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00252;K GP;KIT GP
PDR;PDR00098;JONC D ARRET(CIRCLIPS);UN;;0;1;UN;1;;0;0;PDR;AV001;;;;2;FRL00252;0730.303.184;JONC D ARRET(CIRCLIPS)
